okres,obec,cintorín,národnosť,dôvodÚmrtia,dátumÚmrtia,početHrobov,početPochovaných,GPS
Bánovce nad Bebravou,Bánovce nad Bebravou,obecný,"slov.
maď. neznámy
","zastrelený
","6/12/1918
",2,2,48.721667 18.259826
Bánovce nad Bebravou,Jastrabie,obecný,"čes.
srb. zajatec
","ťažké zranenie
","27/11/1918
1/10/1918
",2,2,48.949383 21.608524
Bánovce nad Bebravou,Krásna Ves,obecný,"maď.
",-,"20/9/1914
",1,1,48.848494 18.2252
Bánovce nad Bebravou,Kšinná,evanjelický,"slov. vojak
","tuberkulóza
","1/10/1918
",1,1,48.826506 18.370874
Bánovce nad Bebravou,Šišov,obecný,"bez národn.
","padol v Galícii
",-,1,1,48.659945 18.177226
Bánovce nad Bebravou,Uhrovec,rímskokatolícky,"10 slov.
2 čes.
1 tal.
1 maď.
bez národ.
","rôzne
neuvedené
","1915
",15,15,48.726762 18.350528
Bánovce nad Bebravou,Uhrovec,evanjelický,"čs.
","rôzne
","1915
",4,4,48.726762 18.350528
Bánovce nad Bebravou,Uhrovec,židovský,"žid
maď.
rum.
","bruš. týfus
samovražda
zápal pľúc
","1918
1918
1918
",3,3,48.726762 18.350528
Bánovce nad Bebravou,Zlatníky,obecný,"rus.
juhoslov.
","práca v lese
zápal pľúc
","1915
1916
",2,2,48.728761 18.060941
Banská Štiavnica,Banská Štiavnica,evanjelický,"bosnian.
","zápal pľúc
týfus
srd. vada
zápal mozg. blán
","1916
",6,6,48.458093 18.898841
Banská Štiavnica,Banská Štiavnica,-,"srb.
","tuberkulóza
","1915
",1,1,48.458093 18.898841
Banská Štiavnica,Baďan,obecný,"maď.
","popravený
","1919
",1,1,48.331534 18.850865
Banská Štiavnica,Banská Belá,rímskokatolícky,"čs.
","pretrhnutie žily
","1917
",1,1,48.485077 18.955784
Banská Štiavnica,Banská Belá,evanjelický,-,-,"1919
",1,1,48.485077 18.955784
Banská Štiavnica,Banská Štiavnica,rímskokatolícky,"čs.
poľ.
","španiel. chrípka
tuberkulóza
srd. vada
","1918
",4,4,48.458093 18.898841
Banská Štiavnica,Banská Štiavnica,evanjelický,"čs.
2 rum.
","tuberkulóza
zápal pľúc
zápal mozg. blán
","1916
",3,3,48.458093 18.898841
Banská Štiavnica,Banská Štiavnica,-,"čes.
","ranený od boľševikov
",-,1,1,48.458093 18.898841
Banská Štiavnica,Banská Štiavnica,-,"čs.
","tuberkulóza
nehoda
","1915
",3,3,48.458093 18.898841
Banská Štiavnica,Banská Štiavnica,civilný,"5 čs.
1 rum.
","tuberkulóza
suchoty
zranenie
zápal pľúc
","1915
",6,6,48.458093 18.898841
Banská Štiavnica,Banská Štiavnica,-,"6 juhosl.
1 rum.
",-,-,7,7,48.458093 18.898841
Banská Štiavnica,Banská Štiavnica,-,"10 čs.
3 poľ.
2 rum.
1 juhosl.
",-,-,16,16,48.458093 18.898841
Banská Štiavnica,Banská Štiavnica,obecný,"6 čs.
1 rak.
2 nezn.
","hlavne zranenia
","1915
",10,10,48.458093 18.898841
Banská Štiavnica,Banská Štiavnica,židovský,"slov.
",-,"1914
",1,1,48.458093 18.898841
Banská Štiavnica,Beluj,rímskokatolícky obecný,"slov.
","španielska chrípka
","1919
",1,1,48.354342 18.87929
Banská Štiavnica,Beluj,evanjelický obecný,"slov.
","tuberkulóza
ťažké
zranenie
",-,2,2,48.354342 18.87929
Banská Štiavnica,Dekýš,obecný evanjelický,"2 slov.
10 neznámy
2 čes.
","zranenie
špan. chríp.
","1918
1919
",4,14,48.394471 18.809233
Banská Štiavnica,Horná Roveň,rímskokatolícky obecný,"slov.
","zápal pľúc
","1917
",1,1,48.464136 17.421317
Banská Štiavnica,Ilija,obecný,-,"zápal pľúc
zastrelený omylom
",-,2,2,48.410335 18.896207
Banská Štiavnica,Piarg,rímskokatolícky obecný,"slov.
","týfus
tuberkulóza zranenie
","1917
",4,4,48.758756 18.27036
Banská Štiavnica,Počuvadlo,evanjelický obecný,"slov.
","zomreli doma
","1917
",2,2,48.376747 18.841762
Banská Štiavnica,Svätý Antol,katolícky obecný,"slov.
","zápal pľúc
tuberkulóza zranenie
","1916
",5,5,48.58684 16.99554
Banská Štiavnica,Vysoká pri Pukanci,rímskokatolícky cirkevný,"čes.
neznámy
","strelený do hlavy
zranený v poli
","1919
1919
",2,2,48.32973 16.91184
Banská Bystrica,Banská Bystrica,-,"rus
",-,"1915
",-,-,48.733333 19.15
Banská Bystrica,Banská Bystrica,-,"rus
",-,"1916
",1,48,48.733333 19.15
Banská Bystrica,Ulmanka,katolícky,"rus
",-,-,-,-,48.78566 19.11111
Banská Bystrica,Vlkanová,obecný,"rus
",-,-,-,-,48.675469 19.166816
Banská Bystrica,Banská Bystrica,-,"279 čs.
7 tal.
387 maď.
44 poľ.
46 rak.
330 rum.
21 rus.
224 juhoslov.
42 neznám.
",-,-,1367,1380,48.733333 19.15
Banská Bystrica,Badín,obecný,"slov.
","2 zastrelený
španielska chrípka
","1915
",3,3,48.673231 19.100683
Banská Bystrica,Donovaly,obecný,"slov.
","tuberkulóza
","1918
",1,1,48.872836 19.233374
Banská Bystrica,Dubravica,obecný,"slov.
","malária
","1918
",1,1,48.677676 19.291561
Banská Bystrica,Garansek,obecný,"slov.
",-,"1919
",1,1,48.997704 20.805909
B. Bystrica,Harmanec,obecný,"slov.
","tuberkulóza
","1917
",1,1,48.784367 19.062677
B. Bystrica,Horné Poršany,obecný,"slov.
","skalpovanie hlavy
","1916
",1,1,48.49578 18.67286
B. Bystrica,Hrochoť,obecný,"slov.
","2 strelné rany
","1918
",1,1,48.661161 19.368218
B. Bystrica,Králiky,obecný,"slov.
","suchoty
","1916
",1,1,48.734492 19.03156
B. Bystrica,Ľubietová,evanjelický,"slov.
","suchoty
malária
","1916
",4,4,48.727734 19.452602
B. Bystrica,Lučatín,obecný,"slov.
","tuberkulóza
","1918
",1,1,48.781684 19.321347
B. Bystrica,Motyčky,-,"slov.
","tuberkulóza
","1918
",1,1,48.86347 19.186532
B. Bystrica,Piesky,obecný,"slov.
",-,"1918
",1,1,48.67191 21.79231
B. Bystrica,Poniky,obecný,"slov.
","vojnové útrapy
","1918
",5,5,48.705089 19.313215
B. Bystrica,Priechod,obecný,"slov.
","zápal pľúc
","1918
",1,1,48.792503 19.219349
B. Bystrica,Radvaň n/ Hronom,rímskokatolícky,"slov.
","pľúcna nemoc
","1917
",1,1,48.79283 19.38261
B. Bystrica,Radvaň n/ Hronom,evanjelický,"slov.
","zabitý šrapnelom v Taliansku
","1917
",1,1,48.79283 19.38261
B. Bystrica,Rudlová,obecný,"slov.
","tuberkulóza
zápal pľúc
","1916
",2,2,48.92302 21.57133
B. Bystrica,Sásová,obecný,"slov.
","vysychanie špiku
zranenie
","1918
1915
",2,2,49.259851 21.451474
B. Bystrica,Senica,obecný,"rus
","španielska chrípka
","1918
",1,1,48.676389 17.363889
B. Bystrica,Skubín,obecný,"slov.
","suchoty
","1918
",1,1,49.18213 19.31622
B. Bystrica,Staré Hory,obecný,"slov.
",-,"1915
",1,1,48.837165 19.125902
B. Bystrica,Svätý Jakub,obecný,"slov.
","suchoty
","1918
",1,1,48.58684 16.99554
B. Bystrica,Špania Dolina,cirkevný,"slov.
","španielska chrípka
","1919
",1,1,48.802658 19.144101
B. Bystrica,Tajov,obecný,"slov.
","suchoty
","1917
",1,1,48.741614 19.051179
B. Bystrica,Vlkanová,obecný,"rus
",-,"1918
",1,1,48.675469 19.166816
B. Bystrica,Banská Bystrica,katolícky,"62 čs.
4 tal.
22 maď.
6 poľ.
17 rak.
33 rum.
18 juhosl.
3 neznámy
",-,-,165,165,48.733333 19.15
B. Bystrica,Banská Bystrica,evanjelický,"20 čs.
16 maď.
1 nem.
1 rak.
2 rum.
5 neznámy
",-,-,45,45,48.733333 19.15
B. Bystrica,Banská Bystrica,židovský,"7 čs.
8 maď.
2 poľ.
4 juh.
4 rum.
19 neznámy
",-,-,44,44,48.733333 19.15
B. Bystrica,Banská Bystrica,-,"112 čs.
15 tal.
67 maď.
62 poľ.
33 rak.
60 rum.
48 rus.
79 juhosl.
2 neznámy
",-,-,450,450,48.733333 19.15
Bratislava mesto,Bratislava mesto,židovský,"3 juhoslov.
vojaci
",-,-,1,1,48.17123 17.14993
Bratislava mesto,Bratislava mesto,vojenský,"tal.
",-,-,8,8,48.17123 17.14993
Bratislava mesto,Bratislava mesto,vojenský,"30 rus.
8 tal.
","strel. rany
záp. moz. blán
záp. pľúc
srd. vada
TBC
zranenie
samovražda
","1914
",38,38,48.17123 17.14993
Bratislava mesto,Bratislava mesto,ústredný,"342 čs.
1 bulh.
1 dán.
51 tal.
1 lotyš.
165 maď.
13 nem.
43 poľ.
47 rak.
220 rum.
102 rus.
128 juhosl.
20 neznámi
4 nenájdené
",-,-,1134,1134,48.17123 17.14993
Bratislava mesto,Bratislava mesto,ústredný,"juhosl. vojaci
",-,-,130,130,48.17123 17.14993
Bratislava mesto,Bratislava mesto,ústredný,"tal.
",-,-,51,51,48.17123 17.14993
Bratislava mesto,Bratislava mesto,evanjelický,"juh. Bosna
",-,-,1,1,48.17123 17.14993
Bratislava mesto,Bratislava mesto,vojenský,"164 čs.
8 tal.
122 maď.
2 nem.
85 poľ.
42 rak.
51 rum.
38 rus.
62 juhosl.
1 neznámy
",-,-,575,575,48.17123 17.14993
Bratislava mesto,Bratislava mesto,evanjelický,"6 čs.
1 maď.
",-,-,7,7,48.17123 17.14993
Bratislava mesto,Bratislava mesto,rímskokatolícky,"30 čs.
1 rum.
",-,-,31,31,48.17123 17.14993
Bratislava mesto,Bratislava mesto,rímskokatolícky,"11 čs.
",-,-,11,11,48.17123 17.14993
Bratislava mesto,Bratislava mesto,-,"86 čs.
10 maď.
3 rak.
2 rum.
2 juhosl.
",-,-,103,103,48.17123 17.14993
Bratislava mesto,Bratislava mesto,evanjelický,"19 čs.
1 rak.
1 rum.
1 juhosl.
",-,-,22,22,48.17123 17.14993
Bratislava mesto,Bratislava mesto,židovský,"34 čs.
2 lot.
1 juh.
4 maď.
6 poľ.
1 rak.
3 rum.
2 rus.
",-,-,53,53,48.17123 17.14993
Bratislava vidiek,Petržalka/ Kopčany,-,"122 čs.
11 tal.
53 maď.
3 nem.
11 poľ.
16 rak.
43 rum.
15 rus.
51 juhosl.
6 neznámy
",-,-,331,331,48.11811 17.10697
Bratislava vidiek,Čeklis,katolícky,"2 čs
1 rus.
",-,-,2,2,48.198971 17.300859
Bratislava vidiek,Devín,obecný,"3 čs
1 poľ.
",-,"1915
",4,4,48.170906 17.010161
Bratislava vidiek,Dúbravka,-,"3 čs.
",-,-,3,3,48.62882 21.878348
Bratislava vidiek,Lamač,obecný,"2 čs.
",-,-,2,2,48.198626 17.059876
Bratislava vidiek,Petržalka,obecný,"1 čs.
",-,"1917
",1,1,48.110972 17.11129
Bratislava vidiek,Rača,obecný,"3 čs.
1 maď.
1 rum.
1 rak.
",-,-,6,6,48.215235 17.149956
Bratislava vidiek,Rača,evanjelický obecný,"1 čs. Bratislavčan
","zranenie
","1915
",1,1,48.215235 17.149956
Bratislava vidiek,Svätý Jur,rímskokatolícky obecný,"1 poľ.
",-,-,1,1,48.248019 17.200115
Bratislava vidiek,Záhorská Bystrica,rímskokatolícky obecný,"1 čs.
","vojnové útrapy
","1917
",1,1,48.231518 17.052969
Bratislava vidiek,Vajnory,obecný,"1 čs. domáci
","tuberkulóza
","1919
",1,1,48.216978 17.19483
Bratislava vidiek,Zohor,rímskokatolícky,"3 čs.
",-,"1917
",3,3,48.314973 16.975552
Bardejov,Andrejová,obecný,"32 neznámy
","padli pri Ondrejove
","1914
",19,19,49.338202 21.335925
Bardejov,Bardejov,evanjelický,"13 neznámy
",-,-,3,3,49.294722 21.276389
Bardejov,Bardejov Kalvária,obecný,"1 čs
1 maď.
1 poľ.
1 rak.
2 juhosl.
4 neznámy
","cholera
samovražda
zranenie
","1915
",1,1,49.29465 21.27644
Bardejov,Bardejov U Sv. Jakuba,cirkevný,"2 poľ.
1 rum.
47 neznámy
",-,-,1,1,49.2881 21.27192
Bardejov,Bardejov. N. Ves,obecný katolícky,"8 neznámy
",-,-,2,3,49.30177 21.31683
Bardejov,Bartošovce,obecný,"1 čs
1 neznámy
",-,"1917
1914
",2,2,49.202773 21.274156
Bardejov,Becherov,vojenský,"111 neznámy
","padli
",-,54,1,49.433591 21.3078
Bardejov,Beloveža,gréckokatolícky obecný,"3 neznámy
",-,-,3,3,49.304431 21.360881
Bardejov,Cigelka,-,"rus.
","zranenie
","1914
",1,1,49.411999 21.143368
Bardejov,Gaboltov,obecný,"rak.
","zranenie
","1915
",1,1,49.370449 21.13878
Bardejov,Hažlín,vojenský cirkevný obecný,"83 neznámy
",-,-,60,3,49.300911 21.417467
Bardejov,Hertník,rímskokatolícky obecný,"9 neznámy
",-,-,4,1,49.203578 21.220087
Bardejov,Hervertov,nový obecný,"1 neznámy
",-,-,1,1,49.2465 21.20431
Bardejov,Kľušov,obecný,"31 neznámy
","padli pri obci Kľušov
","1914
",17,1,49.244365 21.266175
Bardejov,Kobyly,obecný,"1 rak.
",-,-,1,1,49.219946 21.297759
Bardejov,Komárov,obecný,"7 neznámy
","padli pri obci
","1914
",5,1,49.278574 21.347603
Bardejov,Lukavica,obecný,"3 neznámy
",-,-,3,1,48.644211 19.211804
Bardejov,Niklová,vojenský,"175 neznámy
",-,-,78,35,48.68067 21.27338
Bardejov,Nižný Tvarožec,obecný gréckokatolícky,"1 neznámy
",-,-,1,1,49.369182 21.19448
Bardejov,Nižnia Polianka II,vojenský,"190 neznámy
",-,-,1,190,48.933767 19.725272
Bardejov,Rokytov,obecný,"3 neznámy
","padli pri Rokytove
","1914
",3,1,49.315271 21.190868
Bardejov,Slovenské Raslavice,obecný židovský,"4 neznámy voj. židia
",-,-,4,4,48.04713 17.79333
Bardejov,Sveržov,obecný,"1 neznámy
",-,"1914
",1,1,49.338711 21.165733
Bardejov,Šiba,obecný,"6 neznámy
","v boji pri dedine
",-,3,1,49.224634 21.207822
Bardejov,Vyšný Tvarožec,vojenský,"4 neznámy
",-,"1914
",4,4,49.389248 21.19353
Bardejov,Tarnov,obecný,"1 tal.
1rak.
1 juh.
3 neznámy
",-,-,2,2,49.321391 21.157847
Bardejov,Vyšnia Polianka pri Zborove,vojenský,"226 neznámy
","padli
","1914
",98,35,49.43092 21.3484
Bardejov,Vyšnia Vola,obecný,"1 neznámy
","zastrelený v boji
","1914
",1,1,48.96925 20.78359
Bardejov,Zborov,vojenský,"135 nezn. voj.
",-,-,84,84,49.368503 21.308797
Dolný Kubín,Bziny,obecný,"slov.
","zranenie
","1915
",1,1,49.220329 19.334353
Dolný Kubín,Dolný Kubín,obecný,"slov.
",-,"1918
",1,1,49.214524 19.295317
Dolný Kubín,Kraľovany,rímskokatolícky obecný,"1 domáci
1 domáci
","zápal pľúc zápal pľúc
","1917
1915
",2,2,49.164252 19.108297
Dolný Kubín,Oravský Podzámok,rímskokatolícky obecný,"2 čs domáci
1 tal.
","1 padol
Španielska chrípka
","1915
1918
1918
",3,3,49.273701 19.352127
Dolný Kubín,Vyšný Kubín,obecný,"1 domáci
1 rus.
","onemocnenie v poli
zavraždený
","1915
1919
",2,2,49.173678 19.332287
Dolný Kubín,Zázrivá,obecný,"4 domáci
","3x Španielska chrípka
tuberkulóza
",-,4,4,49.280985 19.160719
Dolný Kubín,Zázrivá,-,"5 domáci
","2x týfus
sifilis
porážka
","1915
",5,5,49.280985 19.160719
Čadca,Čadca,rímskokatolícky,"6 čs domáci
1 nem.
3 poľ.
1 rak.
2 neznámy
","utopenie
niektorí cestou vlakom
","1915
",11,11,49.438056 18.789722
Čadca,Makov,obecný,"domácí
","vodnačka
","1918
",1,1,49.356081 18.449068
Čadca,Olešná,rímskokatolícky obecný,"domácí
","horúčka
","1918
",2,2,49.430812 18.653097
Čadca,Raková,obecný,"domácí
","strelná rana
","1915
",1,1,49.458343 18.72021
Čadca,Skalité,obecný starý,"domácí
","zápal pľúc
tuberkulóza
1 zastrelený
",-,4,4,49.494902 18.919238
Čadca,Skalité,-,"neznámy rus.
",-,-,1,1,49.494902 18.919238
Čadca,Staškov,obecný,"domácí
","tuberkulóza
špan.
chrípka
",-,5,5,49.452476 18.677035
Čadca,Turzovka,obecný,"domácí
","zápal pľúc
horúčka
srdeč. vada
",-,7,7,49.405158 18.625981
Čadca,Vysoká nad Kysucou,obecný,"domácí
","zápal pľúc
suchoty
reumat.
",-,7,7,49.391511 18.51988
Brezno,Bacúch,obecný,"domácí
","zápal pľúc
týfus
",-,2,2,48.846679 19.809789
Brezno,Beňuš,obecný,"slov.
","zranenie
tuberkulóza
",-,3,3,48.838169 19.697612
Brezno,Brezno nad Hronom,rímskokatolícky,"8 čs.
1 tal.
2 poľ.
","tuberkulóza
zranenie zápal čriev
srdeč.
vada
týfus
",-,11,11,48.8503 19.91143
Brezno,Brezno nad Hronom,starý evanjelický,"domácí
","týfus
",-,1,1,48.8503 19.91143
Brezno,Brezno nad Hronom,nový evanjelický,"domácí
","tuberkulóza
rakovina
ľadvín
špan. chrípka
",-,6,6,48.8503 19.91143
Brezno,Brezno nad Hronom,židovský,"domácí
","tuberkulóza
",-,1,1,48.8503 19.91143
Brezno,Brusno,obecný,"domácí
","zápal pľúc
","1918
",1,1,48.826839 19.356033
Brezno,Čierny Balog,rímskokatolícky obecný,"rus
","zamrzol
","1916
",1,1,48.720791 19.696201
Brezno,Dolnia Lehota,obecný,"domácí
","tuberkulóza
","1916
",1,1,49.031024 18.437432
Brezno,Dubová,obecný,"domácí
","pľúc. neduh
","1917
",1,1,48.374716 17.321019
Brezno,Helpa,obecný,"domácí
",-,"1918
",1,1,48.850235 19.96179
Brezno,Hornia Lehota,rímskokatolícky,"domácí
",-,"1918
",1,1,49.261074 19.399448
Brezno,Hornia Lehota,rímskokatolícky,"domácí
",-,"1918
",1,1,49.261074 19.399448
Brezno,Hornia Lehota,evanjelický,"domácí
","malária a zápal
mozgu
","1918
",1,1,49.261074 19.399448
Brezno,Hronec,rímskokatolícky,"2x domácí
1x rus
","zápal mozgov. blán
týfus
","1917
1916
",3,3,48.739788 19.544943
Brezno,Jasenie,obecný,"domácí
","pri zrážke vlakov
","1916
",1,1,48.883981 19.431434
Brezno,Lopej,obecný,"domácí
",-,"1918
1915
",2,2,48.4597 18.355275
Brezno,Medzibrod n/Hronom,obecný,"domácí
","tuberkulóza
týfus
","1916
1917
",2,2,48.79166 19.35222
Brezno,Nemecká,obecný,"domácí
","vnútorný úraz
","1915
",1,1,48.808633 19.429209
Brezno,Osoblie,obecný,"poľ.
","zabitý stromom
","1916
",1,1,48.75529 19.52592
Brezno,Podbrezová,-,"3 čs.
1 rak.
2 tal.
1 maď.
1 rum.
1 rus.
","explózia granátu
priestrel
týfus
tuberkulóza
zápal obličiek
",-,9,9,48.798358 19.519666
Brezno,Pohorelá,obecný,"domácí
","záp. pľúc
nachlad.
malária
poranenie
amputácia nohy
zastrelenie
žal. katar
",-,10,10,48.85483 20.018793
Brezno,Polhora,obecný,"domácí
2 neznámy
",-,-,1,1,49.55662 19.450262
Brezno,Polomka,obecný,"3 domácí
1 maď.
","suchoty
špan.
chrípka
",-,4,4,48.84438 19.860839
Brezno,Predajná,obecný,"domácí
","rakovina žalúdka
malária
","1918
",2,2,48.800394 19.476997
Brezno,Valaská,rímskokatolícky,"domácí
","zranenie
srdeč. vada
otrava krvi
",-,6,6,48.748869 19.591052
Brezno,Závadka nad Hronom,obecný,"2 domácí
1 juh.
1 maď.
","špan. chrípka
",-,4,4,48.845021 19.919899
Dunajská Streda,Dunajská Streda,rímskokatolícky,"1 čs.
1 rum.
1 maď.
1 neznámy
",-,-,4,4,47.9925 17.616944
Dunajská Streda,Malý Aboň,zajatecký,"1 estón.
1 fín.
124 tal.
2 litov.
6 lotyš.
51 poľ.
28 rum.
637 rus.
9 juh.
35 neznámy
",-,-,838,838,48.18968 19.3536
Dunajská Streda,Baka,obecný,"1 domácí
1 juh.
","srdečná vada
tuberkulóza
",-,2,2,47.893191 17.522674
Dunajská Streda,Baloň,obecný,"3 domácí
",-,-,3,3,47.842097 17.656213
Dunajská Streda,Benkova Potôň,obecný rímskokatolícky,"1 juh.
",-,-,1,1,48.485077 18.955784
Dunajská Streda,Beš,obecný,"2 domácí
","týfus
ťažké zranenie
",-,2,2,48.531488 21.949317
Dunajská Streda,Blažov,obecný,"domácí
","týfus
","1918
",1,1,48.589845 17.242819
Dunajská Streda,Dolný Bar,obecný rímskokatolícky,"domácí
",-,-,2,2,47.96611 17.703783
Dunajská Streda,Bodak,obecný,"domácí
","tuberkulóza
","1916
",1,1,48.85372 18.733927
Dunajská Streda,Čelizský Ňárad,obecný,"domácí
",-,-,3,3,47.83663 17.60971
Dunajská Streda,Čelizský Ňárad,evanjelický,"domácí
","tuberkulóza
",-,1,1,47.83663 17.60971
Dunajská Streda,Dolný Štál,obecný reformovaný,"domácí
",-,-,1,1,48.548771 18.74019
Dunajská Streda,Dunajská Streda,obecný,"3 čs.
2 rum.
2 maď.
15 rus.
2 juh.
9 neznámy
",-,-,34,34,47.9925 17.616944
Dunajská Streda,Dunajská Streda,židovský,"domácí
rus.
",-,-,2,2,47.9925 17.616944
Dunajská Streda,Etreove Korčany,obecný,"domácí
","1 zastrelený  pri
LivenzeTaliansko
","1918
",2,2,48.58946 21.92244
Dunajská Streda,Horný Bar,obecný,"rus.
",-,"1918
",1,1,47.945009 17.460704
Dunajská Streda,Hornia Potôn,obecný,"domácí
","týfus
","1915
",1,1,48.01726 17.52944
Dunajská Streda,Hornie Mýto,obecný,"domácí
","zápal pľúc
malária
",-,3,3,48.85237 19.63231
Dunajská Streda,Mad,obecný reformovaný,"domácí
","vojnové útrapy
","1918
",1,1,47.947707 17.650755
Dunajská Streda,Medve,obecný,"domácí
","TBC
malária
zran.
",-,3,1,47.79654 17.669503
Dunajská Streda,Padány,obecný evanjelický reformovaný,"domácí
","vojnové útrapy
","1918
",1,1,47.911883 17.670532
Dunajská Streda,Patas,obecný evanjelický,"domácí
rus.
","španielska chrípka
",-,2,2,47.869633 17.659873
Dunajská Streda,Pinkove Korčany,rímskokatolícky,"domácí
",-,-,1,1,48.58946 21.92244
Dunajská Streda,Trhová Hradská,obecný,"domácí
",-,-,3,3,47.995967 17.780772
Dunajská Streda,Trstená na Ostrove,obecný,"domácí
",-,-,1,1,47.919525 17.507421
Dunajská Streda,Várkony,obecný,"domácí
",-,-,1,1,47.937546 17.60392
Dunajská Streda,Veľký Aboň,rímskokatolícky,"domácí
",-,-,1,1,48.20721 18.44566
Feledince,Číž,obecný reformovaný,"3 dom.
2 maď.
",-,-,5,5,48.311408 20.272098
Feledince,Feledince,obecný,"1 čs.
2 poľ.
1 rum.
2 juh.
","2 mŕtvy vyložený z transportu
",-,4,1,48.304118 20.073327
Feledince,Feledince,reformovaný,"1 juh.
1 maď.
1 neznámy
","2 mŕtvy vyložený z transportu
",-,1,1,48.304118 20.073327
Feledince,Feledince,obecný,"1 čs.
1 rum.
4
","2 zastrel. boľševikmi 4 zastrel. od čs. vojska
","1919
",2,1,48.304118 20.073327
Feledince,Hostice,obecný,"1 dom.
1 maď.
",-,-,2,2,48.235919 20.083307
Feledince,Chanava,obecný reformovaný,"1 maď.
","zastrelený
","1919
",1,1,48.33289 20.294326
Feledince,Jánošovce,obecný,"8 poľ.
3 rum.
1 neznámy
",-,-,12,12,49.134239 19.472498
Feledince,Rimavská Seč,obecný,"2 neznámy
",-,-,2,2,48.299492 20.238423
Feledince,Söreg,obecný,"1 dom.
",-,-,1,1,48.225592 19.914617
Feledince,Širkovce,obecný,"1 dom.
1 maď
","zastrelený
","1916
",3,3,48.282597 20.084115
Feledince,Tomášovce,obecný reformovaný,"1 dom.
","následkom zranenia
","1917
",1,1,48.371243 19.619738
Feledince,Uzovská Panita,obecný reformovaný,"dom.
","vojnové útrapy
zranenie
",-,6,6,48.4734 20.35113
Feledince,Velkyňa,obecný,"dom.
",-,-,1,1,48.28075 20.30061
Galanta,Senec,obecný rímskokatolícky,"7 čs.
1 rus.
2 poľ.
",-,-,10,20,48.220833 17.398611
Galanta,Senec,židovský,"1 poľ.
","utopenie
","1915
",1,1,48.220833 17.398611
Galanta,Dolná Streda,obecný,"dom.
",-,-,1,1,48.256664 17.743851
Galanta,Pusté Úľany,obecný,"4 dom.
1 maď
",-,-,5,5,48.22185 17.57016
Galanta,Sereď,obecný katolícky,"8 čs.
2 maď
1 neznámy
","2 strelná rana
utopenie
",-,11,11,48.288903 17.730881
Galanta,Sereď,židovský,"1 čs.
",-,-,1,1,48.288903 17.730881
Galanta,Váhovce,obecný,"dom.
",-,-,5,5,48.237552 17.78084
Galanta,Dolné Saliby,obecný rímskokatolícky,"dom.
","tuberkulóza
",-,1,1,48.094898 17.797919
Galanta,Dolné Saliby,evanjelický,"dom.
","týfus
malária
zápal
pľúc
",-,3,3,48.094898 17.797919
Galanta,Galanta,obecný,"2 čs.
1 maď
1 poľ.
1 rus.
2 juh.
1 neznámy
","3x zrazenie vlakom
",-,9,9,48.189444 17.726667
Galanta,Horné Saliby,obecný rímskokatolícky,"dom.
","...
týfus
zranenie
",-,7,7,48.111959 17.741398
Galanta,Košúty,obecný,"1 dom.
2 juh.
",-,-,3,3,48.17505 17.655046
Galanta,Králová,obecný rímskokatolícky,"dom.
",-,-,1,1,48.35229 17.32228
Galanta,Malý Mačad,obecný,"dom.
",-,-,2,2,48.18968 19.3536
Galanta,Nadszeg,obecný,"dom.
","malária
španielska
chrípka
",-,7,7,48.018405 17.821037
Galanta,Nebojsa,obecný,"dom.
","zranenie
",-,1,1,48.220657 17.728394
Galanta,Tallos,obecný,"2 dom.
1 juh.
",-,-,2,2,48.063469 17.733068
Galanta,Veľký Dioszeg (Sládkovičovo),nový obecný,"4 čs.
4 rus.
2 neznámy
","z toho 1 talian. zajatec
",-,10,10,48.203615 17.628401
Galanta,Veľký Fedymeš,obecný,"1 čs.
1 rus.
","utopenie
",-,2,2,48.20721 18.44566
Galanta,Veľký Mačad,obecný,"dom.
",-,-,4,4,48.25117 17.49439
Galanta,Vizkelet,obecný,"2 rus.
2 juh.
","zápal pľúc
",-,4,4,48.153438 17.662851
Galanta,Vozokany,obecný,"dom.
","zrazenie vlakom
pľúcna choroba
",-,2,2,48.095666 17.706797
Giraltovce,Benedikovce,obecný,"14 neznámy
z toho 2 rus.
ostatní rak.uh.
","padli v boji pri obci
","1914
",10,1,49.081218 19.686714
Giraltovce,Benedikovce,-,"neznámi
",-,"1914
",1,9,49.081218 19.686714
Giraltovce,Bystré,spoločný,"neznámy
",-,-,1,1,49.007126 21.538775
Giraltovce,Fijaš,obecný gréckokatolícky,"neznámy
",-,-,1,1,49.127069 21.577212
Giraltovce,Dubinné,obecný,"neznámy
",-,-,6,1,49.249542 21.432641
Giraltovce,Giraltovce,obecný nový starý,-,"strelné zranenie
brušný týfus
","1914
",1,64,49.113527 21.516659
Giraltovce,Hermanovce,obecný evanjelický,"domáci
",-,-,1,1,49.056203 21.003668
Giraltovce,Chmelov,obecný,"rum.
",-,-,2,2,49.06575 21.435973
Giraltovce,Koprivnica,obecný,"čes.
","samovražda
","1915
",1,1,49.161803 21.397943
Giraltovce,Kožany,obecný,"neznámi
",-,-,3,1,49.213126 21.499013
Giraltovce,Kračunovce,rímskokatolícky,"domáci
","zastrelený v Taliansku
",-,1,1,49.091175 21.467727
Giraltovce,Kručov,obecný,"neznámy
",-,-,1,1,49.118734 21.607699
Giraltovce,Kučín,obecný,"neznámi
",-,-,14,1,48.869431 21.752584
Giraltovce,Kuková,obecný evanjelický,"juh.
",-,-,1,1,49.11927 21.455616
